mun,edo,fecha,man,urban,d_victim_crime,n_victim_crime,d_murder,n_murder,d_dissappeared,family_dis,perception_sec
San Luis Potosí,San Luis Potosí,03mar2019,1,1,0,,0,,1,0,3
Zitácuaro,Michoacán,06feb2019,0,0,0,,0,,1,0,3
Tepeji del Río de Ocampo,Hidalgo,10feb2019,0,0,0,,0,,1,0,4
Chihuahua,Chihuahua,25feb2019,0,1,0,,0,,1,0,2
Culiacán,Sinaloa,04mar2019,0,0,0,,0,,1,0,4
Guaymas,Sonora,02mar2019,0,1,0,,0,,1,0,3
Hueyapan de Ocampo,Veracruz,22feb2019,1,0,0,,0,,0,0,1
Cuencamé,Durango,22feb2019,1,1,0,,1,3,1,0,4
Iztapalapa,Distrito Federal,31jan2019,1,1,0,,0,,1,0,4
Tabasco,Zacatecas,06mar2019,0,0,0,,0,,1,0,3
Pátzcuaro,Michoacán,10feb2019,1,1,0,,0,,1,0,1
San Felipe Orizatlán,Hidalgo,26mar2019,0,0,0,,0,,1,0,3
Tijuana,Baja California,27feb2019,1,1,0,,0,,1,0,4
Comondú,Baja California Sur,23mar2019,1,1,0,,1,2,1,0,2
Ciudad Victoria,Tamaulipas,01mar2019,0,1,0,,0,,0,0,2
Amatán,Chiapas,09mar2019,1,0,0,,1,3,1,0,3
Zapotlán El Grande,Jalisco,10feb2019,0,1,0,,0,,1,0,3
Acámbaro,Guanajuato,22mar2019,0,1,0,,0,,0,0,1
Yautepec,Morelos,22feb2019,0,1,0,,0,,1,0,4
Tabasco,Zacatecas,06mar2019,1,0,0,,0,,1,0,2
Morelia,Michoacán,07feb2019,0,1,0,,0,,1,0,3
Tabasco,Zacatecas,06mar2019,0,0,0,,0,,0,0,.b
Nopala de Villagrán,Hidalgo,07mar2019,1,1,0,,1,2,1,0,1
Leonardo Bravo,Guerrero,01mar2019,0,1,0,,0,,1,1,2
Centro,Tabasco,01mar2019,0,1,0,,1,3,1,0,3
Lerdo,Durango,23feb2019,0,0,0,,0,,1,0,2
Leonardo Bravo,Guerrero,01mar2019,1,1,0,,0,,1,0,3
Ixtapaluca,Estado de México,04feb2019,1,1,0,,1,3,1,0,4
Iztacalco,Distrito Federal,30jan2019,0,1,0,,0,,1,0,1
Chihuahua,Chihuahua,24feb2019,1,1,0,,1,3,1,0,2
Parras,Coahuila,23feb2019,1,1,0,,0,,1,0,2
Huaquechula,Puebla,08feb2019,1,0,0,,0,,1,0,2
Alvaro Obregón,Distrito Federal,02feb2019,1,1,0,,1,2,1,0,3
Coatzacoalcos,Veracruz,24feb2019,1,1,0,,1,3,1,0,1
Othón P. Blanco,Quintana Roo,04mar2019,0,0,0,,1,3,1,0,1
San Felipe Orizatlán,Hidalgo,26mar2019,0,0,0,,0,,0,0,4
